subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2595638
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.8965113
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.912724
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9415401
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6213486
P11_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9380786
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.6584253
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9124711
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.6025637
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.9091082
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.8802532
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9602132
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.8759035
P11_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9310672
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7628325
P11_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9206398
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6805269
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9453716
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9063721
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9222949
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.6486518
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.924037
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.591372
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9192243
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9531493
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9372599
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6623293
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9442702
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.5869057
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.9518195
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.8327215
P11_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9372182
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.5490009
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9338939
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.6132941
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.8990479
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.578145
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.8950103
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.5958245
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9282029
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.5984319
P11_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.9035513
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.4913849
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9376928
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.473739
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9415717
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9082955
P11_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9718137
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6475082
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.958553
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9744139
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9722455
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.4879292
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9188412
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.4730132
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9151543
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.4786427
P11_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.9172887
P11_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9532467
P11_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9653695
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.5719437
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9552077
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P11_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3402464
P11_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9108487
P11_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P11_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9024126
