subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P12,26,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0.225,Coupling A,0.868538
P12,26,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9307488
P12,26,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0,Coupling A,0.9594371
P12,26,Male,Rigth handed,1,VAS,0,Coupling A,0.9514797
P12,26,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P12,26,Male,Rigth handed,0,VAS,0.45,Coupling A,0.8867007
P12,26,Male,Rigth handed,1,VAS,0.45,Coupling A,0.8009775
P12,26,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P12,26,Male,Rigth handed,0,VAS,0.675,Coupling A,0.9117458
P12,26,Male,Rigth handed,1,VAS,0.675,Coupling A,0.8111256
P12,26,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9673558
P12,26,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9528346
P12,26,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P12,26,Male,Rigth handed,0,VAS,0.9,Coupling A,0.9123734
P12,26,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6828716
P12,26,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0.45,Coupling A,0.9641114
P12,26,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9496498
P12,26,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0,Coupling A,0.9572325
P12,26,Male,Rigth handed,1,VAS,0,Coupling A,0.9453271
P12,26,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P12,26,Male,Rigth handed,0,VAS,0.45,Coupling A,0.9289744
P12,26,Male,Rigth handed,1,VAS,0.45,Coupling A,0.9506799
P12,26,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P12,26,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9510096
P12,26,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9449074
P12,26,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
