subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
Valentin,27,Female,Rigth handed,0,ForcedChoice,0.3,Coupling B,0
Valentin,27,Female,Rigth handed,0,VAS,0.3,Coupling B,0.3110491
Valentin,27,Female,Rigth handed,1,VAS,0.3,Coupling B,0.7466858
Valentin,27,Female,Rigth handed,0,ForcedChoice,0,Coupling B,1
Valentin,27,Female,Rigth handed,0,VAS,0,Coupling B,0.5367403
Valentin,27,Female,Rigth handed,1,VAS,0,Coupling B,0.04861717
Valentin,27,Female,Rigth handed,0,ForcedChoice,0,Coupling B,1
Valentin,27,Female,Rigth handed,0,VAS,0,Coupling B,0.2480654
Valentin,27,Female,Rigth handed,1,VAS,0,Coupling B,0.778178
Valentin,27,Female,Rigth handed,0,ForcedChoice,0.3,Coupling B,0
Valentin,27,Female,Rigth handed,0,VAS,0.3,Coupling B,0.122098
Valentin,27,Female,Rigth handed,1,VAS,0.3,Coupling B,0.6784537
