subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.6938747
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.834767
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.479455
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5486704
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.6206086
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.6967234
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.6114607
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5998605
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3990768
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.04296885
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.7856511
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.8946503
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.5606536
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.6070462
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.7824312
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.6256098
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.7127017
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.6744588
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6797506
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.6732897
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6754889
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.4216973
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6871925
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.6700101
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.5837911
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.6432225
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7615247
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.6280835
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6136376
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.6050391
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6477259
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.6426449
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.8207217
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.7935346
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.7976846
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.8291315
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7953866
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8383685
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.7546213
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.8388499
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.8730337
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.9598565
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.780029
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.8016365
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.90909
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.896311
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.8056461
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.7878848
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.8586109
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8400955
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6385345
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.3421063
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.7490616
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5596706
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.8119218
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.8193205
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.8128515
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8330072
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.7223151
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.7362391
P13,27,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.225,Coupling A,0.8691788
P13,27,Female,Rigth handed,1,VAS,0.225,Coupling A,0.908742
P13,27,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P13,27,Female,Rigth handed,0,VAS,0,Coupling A,0.8391175
P13,27,Female,Rigth handed,1,VAS,0,Coupling A,0.9203756
P13,27,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.675,Coupling A,0.7160829
P13,27,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5663686
P13,27,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6510071
P13,27,Female,Rigth handed,1,VAS,0.9,Coupling A,0.6591065
P13,27,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P13,27,Female,Rigth handed,0,VAS,0.45,Coupling A,0.871923
P13,27,Female,Rigth handed,1,VAS,0.45,Coupling A,0.8079828
